Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
56,5.7,2.8,4.5,1.3,Iris-versicolor
144,6.8,3.2,5.9,2.3,Iris-virginica
86,6.0,3.4,4.5,1.6,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
129,6.4,2.8,5.6,2.1,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
63,6.0,2.2,4.0,1.0,Iris-versicolor
54,5.5,2.3,4.0,1.3,Iris-versicolor
29,5.2,3.4,1.4,0.2,Iris-setosa
92,6.1,3.0,4.6,1.4,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
150,5.9,3.0,5.1,1.8,Iris-virginica
21,5.4,3.4,1.7,0.2,Iris-setosa
60,5.2,2.7,3.9,1.4,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-virginica
39,4.4,3.0,1.3,0.2,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
121,6.9,3.2,5.7,2.3,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
78,6.7,3.0,5.0,1.7,Iris-versicolor
146,6.7,3.0,5.2,2.3,Iris-virginica
48,4.6,3.2,1.4,0.2,Iris-setosa
145,6.7,3.3,5.7,2.5,Iris-virginica
73,6.3,2.5,4.9,1.5,Iris-versicolor
3,4.7,3.2,1.3,0.2,Iris-setosa
53,6.9,3.1,4.9,1.5,Iris-versicolor
26,5.0,3.0,1.6,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
37,5.5,3.5,1.3,0.2,Iris-setosa
138,6.4,3.1,5.5,1.8,Iris-virginica
89,5.6,3.0,4.1,1.3,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
136,7.7,3.0,6.1,2.3,Iris-virginica
12,4.8,3.4,1.6,0.2,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
15,5.8,4.0,1.2,0.2,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
117,6.5,3.0,5.5,1.8,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
16,5.7,4.4,1.5,0.4,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
125,6.7,3.3,5.7,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
88,6.3,2.3,4.4,1.3,Iris-versicolor
74,6.1,2.8,4.7,1.2,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
135,6.1,2.6,5.6,1.4,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
142,6.9,3.1,5.1,2.3,Iris-virginica
46,4.8,3.0,1.4,0.3,Iris-setosa
101,6.3,3.3,6.0,2.5,Iris-virginica
87,6.7,3.1,4.7,1.5,Iris-versicolor
34,5.5,4.2,1.4,0.2,Iris-setosa
137,6.3,3.4,5.6,2.4,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
85,5.4,3.0,4.5,1.5,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
22,5.1,3.7,1.5,0.4,Iris-setosa
8,5.0,3.4,1.5,0.2,Iris-setosa
113,6.8,3.0,5.5,2.1,Iris-virginica
19,5.7,3.8,1.7,0.3,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
